contractSymbol,expirationDate,index,lastPrice,spotPrice,strikePrice,ticker,volatility
AAPL230414C00050000,2023-04-14,0,104.66,159.70509338378906,50,AAPL,2.6035191162109372
AAPL230414C00060000,2023-04-14,1,94.64,159.70509338378906,60,AAPL,2.2656293359374997
AAPL230414C00095000,2023-04-14,2,60.55,159.70509338378906,95,AAPL,1.5292992285156248
AAPL230414C00100000,2023-04-14,3,58.6,159.70509338378906,100,AAPL,1.1826212744140623
AAPL230414C00110000,2023-04-14,4,46.46,159.70509338378906,110,AAPL,0.9726565234375
AAPL230414C00115000,2023-04-14,5,45.4,159.70509338378906,115,AAPL,0.9433599414062499
AAPL230414C00120000,2023-04-14,6,35.75,159.70509338378906,120,AAPL,0.8110370458984374
AAPL230414C00125000,2023-04-14,7,35.53,159.70509338378906,125,AAPL,0.7148466015625
AAPL230414C00130000,2023-04-14,8,31.12,159.70509338378906,130,AAPL,0.6333044482421876
AAPL230414C00131000,2023-04-14,9,29.2,159.70509338378906,131,AAPL,0.6323278955078125
AAPL230414C00132000,2023-04-14,10,23.98,159.70509338378906,132,AAPL,0.5898478515625001
AAPL230414C00133000,2023-04-14,11,25.15,159.70509338378906,133,AAPL,0.5712933496093751
AAPL230414C00134000,2023-04-14,12,22.94,159.70509338378906,134,AAPL,0.5581098876953126
AAPL230414C00135000,2023-04-14,13,23.6,159.70509338378906,135,AAPL,0.5507857421875001
AAPL230414C00136000,2023-04-14,14,24.55,159.70509338378906,136,AAPL,0.5419967675781252
AAPL230414C00137000,2023-04-14,15,22.28,159.70509338378906,137,AAPL,0.5180712255859375
AAPL230414C00138000,2023-04-14,16,19.2,159.70509338378906,138,AAPL,0.5134326000976561
AAPL230414C00139000,2023-04-14,17,20.95,159.70509338378906,139,AAPL,0.524418818359375
AAPL230414C00140000,2023-04-14,18,17.42,159.70509338378906,140,AAPL,0.48779809082031256
AAPL230414C00141000,2023-04-14,19,15.79,159.70509338378906,141,AAPL,0.47632359619140624
AAPL230414C00142000,2023-04-14,20,18.55,159.70509338378906,142,AAPL,0.5043994873046875
AAPL230414C00143000,2023-04-14,21,17.57,159.70509338378906,143,AAPL,0.436529072265625
AAPL230414C00144000,2023-04-14,22,13.33,159.70509338378906,144,AAPL,0.4382380395507813
AAPL230414C00145000,2023-04-14,23,15.43,159.70509338378906,145,AAPL,0.4106504248046875
AAPL230414C00146000,2023-04-14,24,12.1,159.70509338378906,146,AAPL,0.40991801025390623
AAPL230414C00147000,2023-04-14,25,10.72,159.70509338378906,147,AAPL,0.3947814428710938
AAPL230414C00148000,2023-04-14,26,10.13,159.70509338378906,148,AAPL,0.37915659912109373
