ticker, spotPrice, strikePrice, expiry, volatility, optionPrice,predictedPrice, timeTaken 
TID_0,78.81092554,78.81092554,1.970273138,0.591081942,29.81599575,,
TID_0_bumped_spot_-8.0000,72.50605149,78.81092554,1.970273138,0.591081942,24.90035548,,
TID_0_bumped_spot_-2.0000,77.23470703,78.81092554,1.970273138,0.591081942,28.55504545,,
TID_0_bumped_spot_2.0000,80.38714405,78.81092554,1.970273138,0.591081942,31.09190328,,
TID_0_bumped_spot_8.0000,85.11579958,78.81092554,1.970273138,0.591081942,34.99895107,,
TID_0_bumped_spot_-9.0000,71.71794224,78.81092554,1.970273138,0.591081942,24.30687676,,
TID_0_bumped_spot_9.0000,85.90390883,78.81092554,1.970273138,0.591081942,35.66097004,,
TID_0_bumped_spot_-10.0000,70.92983298,78.81092554,1.970273138,0.591081942,23.72012622,,
TID_0_bumped_spot_-3.0000,76.44659777,78.81092554,1.970273138,0.591081942,27.92999337,,
TID_0_bumped_spot_3.0000,81.1752533,78.81092554,1.970273138,0.591081942,31.73323325,,
TID_0_bumped_spot_-4.0000,75.65848851,78.81092554,1.970273138,0.591081942,27.31283742,,
TID_0_bumped_spot_-1.0000,78.02281628,78.81092554,1.970273138,0.591081942,29.1827235,,
TID_0_bumped_spot_1.0000,79.59903479,78.81092554,1.970273138,0.591081942,30.45253352,,
TID_0_bumped_spot_4.0000,81.96336256,78.81092554,1.970273138,0.591081942,32.37889953,,
TID_0_bumped_spot_-5.0000,74.87037926,78.81092554,1.970273138,0.591081942,26.70277441,,
TID_0_bumped_spot_5.0000,82.75147181,78.81092554,1.970273138,0.591081942,33.02961912,,
TID_0_bumped_spot_-6.0000,74.08227,78.81092554,1.970273138,0.591081942,26.09910822,,
TID_0_bumped_spot_6.0000,83.53958107,78.81092554,1.970273138,0.591081942,33.68369876,,
TID_0_bumped_spot_-7.0000,73.29416075,78.81092554,1.970273138,0.591081942,25.49834475,,
TID_0_bumped_spot_7.0000,84.32769032,78.81092554,1.970273138,0.591081942,34.33942135,,
TID_0_bumped_strike_-8.0000,78.81092554,72.50605149,1.970273138,0.591081942,32.62257073,,
TID_0_bumped_strike_-2.0000,78.81092554,77.23470703,1.970273138,0.591081942,30.49567849,,
TID_0_bumped_strike_2.0000,78.81092554,80.38714405,1.970273138,0.591081942,29.15121579,,
TID_0_bumped_strike_8.0000,78.81092554,85.11579958,1.970273138,0.591081942,27.27464696,,
TID_0_bumped_strike_-9.0000,78.81092554,71.71794224,1.970273138,0.591081942,32.99152204,,
TID_0_bumped_strike_9.0000,78.81092554,85.90390883,1.970273138,0.591081942,26.97475619,,
TID_0_bumped_strike_-10.0000,78.81092554,70.92983298,1.970273138,0.591081942,33.36700797,,
TID_0_bumped_strike_-3.0000,78.81092554,76.44659777,1.970273138,0.591081942,30.83912813,,
TID_0_bumped_strike_3.0000,78.81092554,81.1752533,1.970273138,0.591081942,28.82403173,,
TID_0_bumped_strike_-4.0000,78.81092554,75.65848851,1.970273138,0.591081942,31.18754866,,
TID_0_bumped_strike_-1.0000,78.81092554,78.02281628,1.970273138,0.591081942,30.15438799,,
TID_0_bumped_strike_1.0000,78.81092554,79.59903479,1.970273138,0.591081942,29.48085957,,
TID_0_bumped_strike_4.0000,78.81092554,81.96336256,1.970273138,0.591081942,28.50368595,,
TID_0_bumped_strike_-5.0000,78.81092554,74.87037926,1.970273138,0.591081942,31.54130652,,
TID_0_bumped_strike_5.0000,78.81092554,82.75147181,1.970273138,0.591081942,28.18974128,,
TID_0_bumped_strike_-6.0000,78.81092554,74.08227,1.970273138,0.591081942,31.89849991,,
TID_0_bumped_strike_6.0000,78.81092554,83.53958107,1.970273138,0.591081942,27.88201103,,
TID_0_bumped_strike_-7.0000,78.81092554,73.29416075,1.970273138,0.591081942,32.25833263,,
TID_0_bumped_strike_7.0000,78.81092554,84.32769032,1.970273138,0.591081942,27.5772816,,
TID_0_bumped_ir_-0.9000,78.81092554,78.81092554,1.970273138,0.591081942,29.71698663,,
TID_0_bumped_ir_-0.7000,78.81092554,78.81092554,1.970273138,0.591081942,29.73898755,,
TID_0_bumped_ir_-0.5000,78.81092554,78.81092554,1.970273138,0.591081942,29.7609891,,
TID_0_bumped_ir_0.4000,78.81092554,78.81092554,1.970273138,0.591081942,29.86000394,,
TID_0_bumped_ir_0.5000,78.81092554,78.81092554,1.970273138,0.591081942,29.87100638,,
TID_0_bumped_ir_0.3000,78.81092554,78.81092554,1.970273138,0.591081942,29.84900165,,
TID_0_bumped_ir_0.7000,78.81092554,78.81092554,1.970273138,0.591081942,29.89303454,,
TID_0_bumped_ir_-0.0000,78.81092554,78.81092554,1.970273138,0.591081942,29.81599575,,
TID_0_bumped_ir_-0.4000,78.81092554,78.81092554,1.970273138,0.591081942,29.77199011,,
TID_0_bumped_ir_-0.3000,78.81092554,78.81092554,1.970273138,0.591081942,29.78299128,,
TID_0_bumped_ir_0.9000,78.81092554,78.81092554,1.970273138,0.591081942,29.91507128,,
TID_0_bumped_ir_0.1000,78.81092554,78.81092554,1.970273138,0.591081942,29.82699756,,
TID_0_bumped_ir_-1.0000,78.81092554,78.81092554,1.970273138,0.591081942,29.70598641,,
TID_0_bumped_ir_0.6000,78.81092554,78.81092554,1.970273138,0.591081942,29.8820164,,
TID_0_bumped_ir_0.8000,78.81092554,78.81092554,1.970273138,0.591081942,29.90405283,,
TID_0_bumped_ir_1.0000,78.81092554,78.81092554,1.970273138,0.591081942,29.92608989,,
TID_0_bumped_ir_-0.8000,78.81092554,78.81092554,1.970273138,0.591081942,29.72798701,,
TID_0_bumped_ir_-0.2000,78.81092554,78.81092554,1.970273138,0.591081942,29.79399261,,
TID_0_bumped_ir_-0.6000,78.81092554,78.81092554,1.970273138,0.591081942,29.74998824,,
TID_0_bumped_ir_0.2000,78.81092554,78.81092554,1.970273138,0.591081942,29.83799952,,
TID_0_bumped_ir_-0.1000,78.81092554,78.81092554,1.970273138,0.591081942,29.8049941,,
TID_0_bumped_vol_-8.0000,78.81092554,78.81092554,1.970273138,0.543795386,29.34966148,,
TID_0_bumped_vol_-2.0000,78.81092554,78.81092554,1.970273138,0.579260303,29.69761214,,
TID_0_bumped_vol_2.0000,78.81092554,78.81092554,1.970273138,0.60290358,29.93544982,,
TID_0_bumped_vol_8.0000,78.81092554,78.81092554,1.970273138,0.638368497,30.29722496,,
TID_0_bumped_vol_-9.0000,78.81092554,78.81092554,1.970273138,0.537884567,29.29305238,,
TID_0_bumped_vol_9.0000,78.81092554,78.81092554,1.970273138,0.644279316,30.35994094,,
TID_0_bumped_vol_-10.0000,78.81092554,78.81092554,1.970273138,0.531973747,29.23660447,,
TID_0_bumped_vol_-3.0000,78.81092554,78.81092554,1.970273138,0.573349483,29.63906817,,
TID_0_bumped_vol_3.0000,78.81092554,78.81092554,1.970273138,0.6088144,29.99429546,,
TID_0_bumped_vol_-4.0000,78.81092554,78.81092554,1.970273138,0.567438664,29.58071753,,
TID_0_bumped_vol_-1.0000,78.81092554,78.81092554,1.970273138,0.585171122,29.75630348,,
TID_0_bumped_vol_1.0000,78.81092554,78.81092554,1.970273138,0.596992761,29.87573714,,
TID_0_bumped_vol_4.0000,78.81092554,78.81092554,1.970273138,0.614725219,30.05116784,,
TID_0_bumped_vol_-5.0000,78.81092554,78.81092554,1.970273138,0.561527844,29.52232722,,
TID_0_bumped_vol_5.0000,78.81092554,78.81092554,1.970273138,0.620636039,30.10831704,,
TID_0_bumped_vol_-6.0000,78.81092554,78.81092554,1.970273138,0.555617025,29.46420494,,
